CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-92771-5,os_calendar_app_disable,Disable Calendar.app,"The macOS built-in Calendar.app _MUST_ be disabled as this application can establish a connection to non-approved services. This rule is in place to prevent inadvertent data transfers.

[IMPORTANT]
====
Some organizations allow the use of the built-in Calendar.app for organizational communication. Information System Security Officers (ISSOs) may make the risk-based decision not to disable the macOS built-in Calendar.app to avoid losing this functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====

[IMPORTANT]
====
Apple has deprecated the use of link:https://github.com/apple/device-management/blob/eb51fb0cb9626cac4717858556912c257a734ce0/mdm/profiles/com.apple.applicationaccess.new.yaml#L67-L70[application restriction controls], using these controls may not work as expected. Third party software may be required to fulfill the compliance requirements.
====
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('familyControlsEnabled'))
  let pathlist = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('pathBlackList').js
  for ( let app in pathlist ) {
      if ( ObjC.unwrap(pathlist[app]) == ""/Applications/Calendar.app"" && pref1 == true ){
          return(""true"")
      }
  }
  return(""false"")
  }
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess.new) payload type:

[source,xml]
----
<key>familyControlsEnabled</key>
<true/>
<key>pathBlackList</key>
<array>
    <string>/Applications/Calendar.app</string>
</array>
----

","AC-20
CM-7
CM-7(1)","03.01.20
03.04.06",,,,,"4.1
4.8","AC.L1-3.1.20
CM.L2-3.4.6
CM.L2-3.4.7",,,medium,
CCE-92772-3,os_camera_disable,Disable Camera,"It is detrimental for operating systems to provide, or install by default, functionality exceeding requirements or mission objectives. These unnecessary capabilities or services are often overlooked and therefore may remain unsecured. They increase the risk to the platform by providing additional attack vectors.

Failing to disconnect from collaborative computing devices (i.e., cameras) can result in subsequent compromises of organizational information. Providing easy methods to physically disconnect from such devices after a collaborative computing session helps to ensure that participants carry out the disconnect activity without having to go through complex and tedious procedures.

This requirement is not applicable to mobile devices (smartphones and tablets), where the use of the camera is a local AO decision.

This requirement is not applicable to dedicated VTC suites located in approved VTC locations that are centrally managed.

For an external camera, if there is not a method for the operator to manually disconnect camera at the end of collaborative computing sessions, this is a finding.

For a built-in camera, the camera must be protected by a camera cover (e.g., laptop camera cover slide) when not in use. If the built-in camera is not protected with a camera cover, or is not physically disabled, this is a finding.

If the camera is not disconnected, covered, or physically disabled, the following configuration is required.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowCamera').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCamera</key>
<false/>
----

",,,SRG-OS-000095-GPOS-00049,,APPL-14-002017,,,,,"CCI-000381
CCI-001774",medium,
CCE-92773-1,os_cd_read_only_enforce,Enforce CD Read Only,"CD media _MUST_ be set to read only.

[IMPORTANT]
====
Some organizations rely on the use of removable media for storing and sharing data. Information System Security Officers (ISSOs) may make the risk-based decision not to disable external hard drives to avoid losing this functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====

[IMPORTANT]
====
Apple has deprecated the use of link:https://github.com/apple/device-management/blob/eb51fb0cb9626cac4717858556912c257a734ce0/mdm/profiles/com.apple.systemuiserver.yaml#L4-L8[media mount controls], using these controls may not work as expected. Third party software may be required to fulfill the compliance requirements.
====
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.systemuiserver')\
.objectForKey('mount-controls'))[""cd""]
EOS
",{'string': 'read-only'},"Create a configuration profile containing the following keys in the (com.apple.systemuiserver) payload type:

[source,xml]
----
<key>mount-controls</key>
<dict>
    <array>
        <string>read-only</string>
    </array>
</dict>
----

",MP-7,03.08.07,,,,,,"MP.L2-3.8.7
MP.L2-3.8.8",,,medium,
CCE-92774-9,os_certificate_authority_trust,Issue or Obtain Public Key Certificates from an Approved Service Provider,"The organization _MUST_ issue or obtain public key certificates from an organization-approved service provider and ensure only approved trust anchors are in the System Keychain.
",Manual,"/usr/bin/security dump-keychain /Library/Keychains/System.keychain | /usr/bin/awk -F'""' '/labl/ {print $4}'
",{'string': 'a list containing approved root certificates'},"Obtain the approved certificates from the appropriate authority and install them to the System Keychain.
",SC-17,,SRG-OS-000403-GPOS-00182,,APPL-14-003001,,,SC.L2-3.13.10,,"CCI-002470
CCI-000185
CCI-002450",high,
CCE-92776-4,os_config_data_install_enforce,Enforce Installation of XProtect Remediator and Gatekeeper Updates Automatically,"Software Update _MUST_ be configured to update XProtect Remediator and Gatekeeper automatically.

This setting enforces definition updates for XProtect Remediator and Gatekeeper; with this setting in place, new malware and adware that Apple has added to the list of malware or untrusted software will not execute. These updates do not require the computer to be restarted.

link:https://support.apple.com/en-us/HT207005[]

NOTE: Software update will automatically update XProtect Remediator and Gatekeeper by default in the macOS.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.SoftwareUpdate')\
.objectForKey('ConfigDataInstall').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.SoftwareUpdate) payload type:

[source,xml]
----
<key>ConfigDataInstall</key>
<true/>
----

","SI-3
SI-2(5)",03.14.02,SRG-OS-000480-GPOS-00227,,APPL-14-005130,1.6 (level 1),"7.3
7.4
7.7","SI.L1-3.14.1
SI.L1-3.14.2
SI.L1-3.14.4",,CCI-000366,medium,
CCE-92777-2,os_config_profile_ui_install_disable,Disable Installation of Configuration Profiles through the User Interface,"Installation of configuration profiles through the user interface _MUST_ be disabled and only be permitted through an authorized MDM server.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowUIConfigurationProfileInstallation').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowUIConfigurationProfileInstallation</key>
<false/>
----

",CM-5,03.04.05,,,,,,CM.L2-3.4.5,,,,
CCE-93017-2,os_dictation_disable,Disable Dictation,"Dictation _MUST_ be disabled on Intel based Macs as the feature On Device Dictation is only available on Apple Silicon devices.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowDictation').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDictation</key>
<false/>
----

","AC-20
CM-7
CM-7(1)
SC-7(10)","03.01.20
03.04.06",SRG-OS-000095-GPOS-00049,,APPL-14-002230,,"4.1
4.8","AC.L1-3.1.20
CM.L2-3.4.6
CM.L2-3.4.7",,CCI-000381,medium,
CCE-92780-6,os_directory_services_configured,Integrate System into a Directory Services Infrastructure,"The macOS system _MUST_ be integrated into a directory services infrastructure.

A directory service infrastructure enables centralized user and rights management, as well as centralized control over computer and user configurations. Integrating the macOS systems used throughout an organization into a directory services infrastructure ensures more administrator oversight and security than allowing distinct user account databases to exist on each separate system.
",Manual,"/usr/bin/dscl localhost -list . | /usr/bin/grep -qvE '(Contact|Search|Local|^$)'; /bin/echo $?
",{'integer': 0},"Integrate the system into an existing directory services infrastructure.
",,,SRG-OS-000480-GPOS-00227,,,,6.7,,,CCI-000366,medium,
CCE-92781-4,os_disk_image_disable,Disable Disk Images,"Disk images _MUST_ be disabled.

[IMPORTANT]
====
Some organizations rely on the use of removable media for storing and sharing data. Information System Security Officers (ISSOs) may make the risk-based decision not to disable external hard drives to avoid losing this functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====

[IMPORTANT]
====
Apple has deprecated the use of link:https://github.com/apple/device-management/blob/eb51fb0cb9626cac4717858556912c257a734ce0/mdm/profiles/com.apple.systemuiserver.yaml#L4-L8[media mount controls], using these controls may not work as expected. Third party software may be required to fulfill the compliance requirements.
====
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.systemuiserver')\
.objectForKey('mount-controls'))[""disk-image""]
EOS
",{'string': 'deny'},"Create a configuration profile containing the following keys in the (com.apple.systemuiserver) payload type:

[source,xml]
----
<key>mount-controls</key>
<dict>
    <array>
        <string>alert</string>
        <string>eject</string>
    </array>
</dict>
----

",MP-7,03.08.07,,,,,,"MP.L2-3.8.7
MP.L2-3.8.8",,,medium,
CCE-92782-2,os_dvdram_disable,Disable DVD-RAM,"DVD-RAM media _MUST_ be disabled.

[IMPORTANT]
====
Some organizations rely on the use of removable media for storing and sharing data. Information System Security Officers (ISSOs) may make the risk-based decision not to disable external hard drives to avoid losing this functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====

[IMPORTANT]
====
Apple has deprecated the use of link:https://github.com/apple/device-management/blob/eb51fb0cb9626cac4717858556912c257a734ce0/mdm/profiles/com.apple.systemuiserver.yaml#L4-L8[media mount controls], using these controls may not work as expected. Third party software may be required to fulfill the compliance requirements.
====
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.systemuiserver')\
.objectForKey('mount-controls'))[""dvdram""]
EOS
",{'string': 'deny'},"Create a configuration profile containing the following keys in the (com.apple.systemuiserver) payload type:

[source,xml]
----
<key>mount-controls</key>
<dict>
    <array>
        <string>alert</string>
        <string>eject</string>
    </array>
</dict>
----

",MP-7,03.08.07,,,,,,"MP.L2-3.8.7
MP.L2-3.8.8",,,medium,
CCE-92785-5,os_erase_content_and_settings_disable,Disable Erase Content and Settings,"Erase Content and Settings _MUST_ be disabled.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowEraseContentAndSettings').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEraseContentAndSettings</key>
<false/>
----

","CM-7
CM-7(1)",03.04.06,"SRG-OS-000480-GPOS-00227
SRG-OS-000095-GPOS-00049",,APPL-14-005061,,,"CM.L2-3.4.6
CM.L2-3.4.7",,"CCI-000366
CCI-000381",medium,
CCE-92787-1,os_ess_installed,Must Use ESS,"The approved ESS solution _MUST_ be installed and configured to run.

The macOS system must employ automated mechanisms to determine the state of system components. The DoD requires the installation and use of an approved ESS solution to be implemented on the operating system. For additional information, reference all applicable ESS OPORDs and FRAGOs on SIPRNET.
",Manual,"Ask the System Administrator (SA) or Information System Security Officer (ISSO) if the approved ESS solution is loaded on the system.
If the installed components of the ESS solution are not at the DoD approved minimal versions, this is a finding.
",,"Install the approved ESS solution onto the system.
",,,SRG-OS-000191-GPOS-00080,,APPL-14-000015,,,,,CCI-001233,medium,
CCE-92788-9,os_facetime_app_disable,Disable FaceTime.app,"The macOS built-in FaceTime.app _MUST_ be disabled.

The FaceTime.app establishes a connection to Apple's iCloud service, even when security controls have been put in place to disable iCloud access.

[IMPORTANT]
====
Apple has deprecated the use of link:https://github.com/apple/device-management/blob/eb51fb0cb9626cac4717858556912c257a734ce0/mdm/profiles/com.apple.applicationaccess.new.yaml#L67-L70[application restriction controls], using these controls may not work as expected. Third party software may be required to fulfill the compliance requirements.
====
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('familyControlsEnabled'))
  let pathlist = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess.new')\
  .objectForKey('pathBlackList').js
  for ( let app in pathlist ) {
      if ( ObjC.unwrap(pathlist[app]) == ""/Applications/FaceTime.app"" && pref1 == true ){
          return(""true"")
      }
  }
  return(""false"")
  }
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess.new) payload type:

[source,xml]
----
<key>familyControlsEnabled</key>
<true/>
<key>pathBlackList</key>
<array>
    <string>/Applications/FaceTime.app</string>
</array>
----

","AC-20
CM-7
CM-7(1)","03.01.20
03.04.06",SRG-OS-000095-GPOS-00049,,APPL-14-002010,,"4.1
4.8","AC.L1-3.1.20
CM.L2-3.4.6
CM.L2-3.4.7",,CCI-000381,medium,
CCE-92790-5,os_filevault_authorized_users,FileVault Authorized Users,"macOS _MUST_ be configured to only allow authorized users to unlock FileVault upon startup.
",Script,"/usr/bin/fdesetup list | /usr/bin/awk -F',' '{print $1}'
",{'string': 'a list containing authorized users that can unlock FileVault'},"Remove the user that is not authorized to unlock FileVault using the fdesetup command.

[source,bash]
----
/usr/bin/fdesetup remove -user NOT_AUTHORIZED_USERNAME
----
",AC-2(11),,,,,,,,,,medium,
CCE-92791-3,os_filevault_autologin_disable,Disable FileVault Automatic Login,"If FileVault is enabled, automatic login _MUST_ be disabled, so that both FileVault and login window authentication are required.

The default behavior of macOS when FileVault is enabled is to automatically log in to the computer once successfully passing your FileVault credentials.

NOTE: DisableFDEAutoLogin does not have to be set on Apple Silicon based macOS systems that are smartcard enforced as smartcards are available at pre-boot.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.loginwindow')\
.objectForKey('DisableFDEAutoLogin').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.loginwindow) payload type:

[source,xml]
----
<key>DisableFDEAutoLogin</key>
<true/>
----

","AC-3
IA-5(13)
AC-2(11)",03.01.02,SRG-OS-000080-GPOS-00048,,APPL-14-000033,,"3.3
6.7",AC.L1-3.1.1,,"CCI-000213
CCI-000366",medium,
CCE-92792-1,os_firewall_default_deny_require,Control Connections to Other Systems via a Deny-All and Allow-by-Exception Firewall Policy,"A deny-all and allow-by-exception firewall policy _MUST_ be employed for managing connections to other systems.

Organizations _MUST_ ensure the built-in packet filter firewall is configured correctly to employ the default deny rule.

Failure to restrict network connectivity to authorized systems permits inbound connections from malicious systems. It also permits outbound connections that may facilitate the exfiltration of data.

If you are using a third-party firewall solution, this setting does not apply.

[IMPORTANT]
====
Configuring the built-in packet filter firewall to employ the default deny rule has the potential to interfere with applications on the system in an unpredictable manner. Information System Security Officers (ISSOs) may make the risk-based decision not to configure the built-in packet filter firewall to employ the default deny rule to avoid losing functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====
",Manual,"/sbin/pfctl -a '*' -sr &> /dev/null | /usr/bin/grep -c ""block drop in all""
",{'integer': 1},"NOTE: See the firewall supplemental which includes a script that has an example policy to implement this rule.
","AC-4
SC-7(5)","03.01.03
03.13.06",,,,,,"AC.L2-3.1.3
SC.L2-3.13.6",,,,
CCE-92793-9,os_firewall_log_enable,Enable Firewall Logging,"Firewall logging _MUST_ be enabled.

Firewall logging ensures that malicious network activity will be logged to the system.

NOTE: The firewall data is logged to Apple's Unified Logging with the subsystem `com.apple.alf` and the data is marked as private. In order to enable private data, review the `com.apple.alf.private_data.mobileconfig` file in the project's `includes` folder.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.firewall')\
  .objectForKey('EnableLogging').js
  let pref2 = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.firewall')\
  .objectForKey('LoggingOption').js
  if ( pref1 == true && pref2 == ""detail"" ){
    return(""true"")
  } else {
    return(""false"")
  }
}
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.security.firewall) payload type:

[source,xml]
----
<key>EnableLogging</key>
<true/>
<key>LoggingOption</key>
<string>detail</string>
----

","AU-12
SC-7","03.03.03
03.13.01",,,,3.6 (level 1),"4.5
8.2
8.5","AU.L2-3.3.6
SC.L1-3.13.1",,,,
CCE-92794-7,os_firmware_password_require,Enable Firmware Password,"A firmware password _MUST_ be enabled and set.

Single user mode, recovery mode, the Startup Manager, and several other tools are available on macOS by holding the ""Option"" key down during startup. Setting a firmware password restricts access to these tools.

To set a firmware passcode use the following command:

[source,bash]
----
/usr/sbin/firmwarepasswd -setpasswd
----

NOTE: If firmware password or passcode is forgotten, the only way to reset the forgotten password is through the use of a machine specific binary generated and provided by Apple. Schedule a support call, and provide proof of purchase before the firmware binary will be generated.

NOTE: Firmware passwords are not supported on Apple Silicon devices. This rule is only applicable to Intel devices.
",Manual,"/usr/sbin/firmwarepasswd -check | /usr/bin/grep -c ""Password Enabled: Yes""
",{'integer': 1},"NOTE: See discussion on remediation and how to enable firmware password.
",AC-6,03.01.05,SRG-OS-000480-GPOS-00227,,APPL-14-003013,,,"AC.L1-3.1.1
AC.L2-3.1.5",,CCI-000366,medium,
CCE-92795-4,os_gatekeeper_enable,Enable Gatekeeper,"Gatekeeper _MUST_ be enabled.

Gatekeeper is a security feature that ensures that applications are digitally signed by an Apple-issued certificate before they are permitted to run. Digital signatures allow the macOS host to verify that the application has not been modified by a malicious third party.

Administrator users will still have the option to override these settings on a case-by-case basis.
",Script,"/usr/sbin/spctl --status | /usr/bin/grep -c ""assessments enabled""
",{'integer': 1},"Create a configuration profile containing the following keys in the (com.apple.systempolicy.control) payload type:

[source,xml]
----
<key>EnableAssessment</key>
<true/>
----

","CM-14
CM-5
SI-7(1)
SI-7(15)
SI-3",03.14.02,SRG-OS-000366-GPOS-00153,,APPL-14-002064,2.6.5 (level 1),"10.1
10.2
10.5","CM.L2-3.4.5
SI.L1-3.14.1
SI.L1-3.14.2
SI.L1-3.14.4",,CCI-001749,high,
CCE-92796-2,os_gatekeeper_rearm,Enforce Gatekeeper 30 Day Automatic Rearm,"Gatekeeper _MUST_ be configured to automatically rearm after 30 days if disabled.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security')\
.objectForKey('GKAutoRearm').js
EOS
",{'string': 'true'},"NOTE: The following settings are in the (com.apple.ManagedClient.preferences) payload. This payload requires the additional settings to be sub-payloads within, containing their defined payload types.

Create a configuration profile containing the following keys in the (com.apple.security) payload type:

[source,xml]
----
<key>GKAutoRearm</key>
<true/>
----

",CM-5,03.04.05,,,,,10.5,"SI.L1-3.14.1
SI.L1-3.14.2
SI.L1-3.14.4
CM.L2-3.4.5",,,,
CCE-92798-8,os_guest_folder_removed,Remove Guest Folder if Present,"The guest folder _MUST_ be deleted if present.
",Script,"/bin/ls /Users/ | /usr/bin/grep -c ""Guest""
",{'integer': 0},"[source,bash]
----
/bin/rm -Rf /Users/Guest
----
",,,,,,5.9 (level 1),4.1,,,,,
CCE-92799-6,os_handoff_disable,Disable Handoff,"Handoff _MUST_ be disabled.

Handoff allows you to continue working on a document or project when the user switches from one Apple device to another. Disabling Handoff prevents data transfers to unauthorized devices.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowActivityContinuation').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowActivityContinuation</key>
<false/>
----

","AC-3
AC-20
CM-7
CM-7(1)","03.01.02
03.01.20
03.04.06","SRG-OS-000300-GPOS-00118
SRG-OS-000080-GPOS-00048
SRG-OS-000095-GPOS-00049",,APPL-14-005058,,"4.1
4.8","AC.L1-3.1.1
AC.L1-3.1.20
CM.L2-3.4.6
CM.L2-3.4.7",,"CCI-000213
CCI-000381
CCI-001443",medium,
CCE-92801-0,os_hibernate_mode_destroyfvkeyonstandby_enable,Enable DestroyFVKeyOnStandby on Hibernate,"DestroyFVKeyOnStandby on hibernate _MUST_ be enabled.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCX')\
.objectForKey('DestroyFVKeyOnStandby').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.MCX) payload type:

[source,xml]
----
<key>DestroyFVKeyOnStandby</key>
<true/>
----

",,,,,,,,,,,,
CCE-92802-8,os_hibernate_mode_intel_enable,Enable Hibernate Mode (Intel),"Hibernate mode _MUST_ be enabled.

This will store a copy of memory to persistent storage, and will remove power to memory. This setting will stop the potential for a cold-boot attack.
",Script,"error_count=0
if /usr/sbin/ioreg -rd1 -c IOPlatformExpertDevice 2>&1 | /usr/bin/grep -q ""MacBook""; then
  hibernateMode=$(/usr/bin/pmset -b -g | /usr/bin/grep hibernatemode 2>&1 | /usr/bin/awk '{print $2}')
  hibernateStandbyLowValue=$(/usr/bin/pmset -g | /usr/bin/grep standbydelaylow 2>&1 | /usr/bin/awk '{print $2}')
  hibernateStandbyHighValue=$(/usr/bin/pmset -g | /usr/bin/grep standbydelayhigh 2>&1 | /usr/bin/awk '{print $2}')
  hibernateStandbyThreshValue=$(/usr/bin/pmset -g | /usr/bin/grep highstandbythreshold 2>&1 | /usr/bin/awk '{print $2}')

  if [[ ""$hibernateStandbyLowValue"" == """" ]] || [[ ""$hibernateStandbyLowValue"" -gt 900 ]]; then
    ((error_count++))
  fi
  if [[ ""$hibernateStandbyHighValue"" == """" ]] || [[ ""$hibernateStandbyHighValue"" -gt 900 ]]; then
    ((error_count++))
  fi
  if [[ ""$hibernateStandbyThreshValue"" == """" ]] || [[ ""$hibernateStandbyThreshValue"" -lt 90 ]]; then
    ((error_count++))
  fi
  if [[ ""$hibernateMode"" == """" ]] || [[ ""$hibernateMode"" != 25 ]]; then
    ((error_count++))
  fi
fi
echo ""$error_count""
",{'integer': 0},"[source,bash]
----
/usr/bin/pmset -a standbydelaylow 900
/usr/bin/pmset -a standbydelayhigh 900
/usr/bin/pmset -a highstandbythreshold 90
/usr/bin/pmset -a hibernatemode 25
----
",,,,,,,,,,,,
CCE-92803-6,os_home_folders_default,Configure User's Home Folders to Apple's Default,"The system _MUST_ be configured to prevent access to other user's home folders.

Configuring the operating system to use the most restrictive permissions possible for user home directories helps to protect against inadvertent disclosures.
",Manual,"Verify the macOS system is configured so that permissions are set correctly on user home directories with the following commands:
/bin/ls -le /Users

This command will return a listing of the permissions of the root of every user account configured on the system. For each of the users, the permissions must be ""drwxr-xr-x+"", with the user listed as the owner and the group listed as \""staff\"". The plus(+) sign indicates an associated Access Control List, which must be:
0: group:everyone deny delete

For every authorized user account, also run the following command:
/usr/bin/sudo /bin/ls -le /Users/userid, where userid is an existing user.

This command will return the permissions of all the objects under the users' home directory. The permissions for each of the subdirectories must be:
drwx------+
0: group:everyone deny delete

The exception is the \""Public\"" directory, whose permissions must match the following:

drwxr-xr-x+
0: group:everyone deny delete

If the permissions returned by either of these checks differ from what is shown, this is a finding.",,"Configure the macOS system to set the appropriate permissions for each user on the system with the following command:

`/usr/sbin/diskutil resetUserPermissions / DeviceNode UID`, where ""DeviceNode UID"" is the ID number for the user whose home directory permissions need to be repaired.

NOTE: Using the `/usr/sbin/diskutil resetUserPermissions` command will only reset the permissions on the default folder set. Other folders in the home directory will not be affected.",AC-6,03.01.05,,,,,,,,,medium,
CCE-92804-4,os_home_folders_secure,Secure User's Home Folders,"The system _MUST_ be configured to prevent access to other user's home folders.

The default behavior of macOS is to allow all valid users access to the top level of every other user's home folder while restricting access only to the Apple default folders within.
",Script,"/usr/bin/find /System/Volumes/Data/Users -mindepth 1 -maxdepth 1 -type d ! \( -perm 700 -o -perm 711 \) | /usr/bin/grep -v ""Shared"" | /usr/bin/grep -v ""Guest"" | /usr/bin/wc -l | /usr/bin/xargs
",{'integer': 0},"[source,bash]
----
IFS=$'\n'
for userDirs in $( /usr/bin/find /System/Volumes/Data/Users -mindepth 1 -maxdepth 1 -type d ! \( -perm 700 -o -perm 711 \) | /usr/bin/grep -v ""Shared"" | /usr/bin/grep -v ""Guest"" ); do
  /bin/chmod og-rwx ""$userDirs""
done
unset IFS
----
",AC-6,03.01.05,SRG-OS-000480-GPOS-00230,,APPL-14-002068,5.1.1 (level 1),3.3,"AC.L1-3.1.1
AC.L2-3.1.5",,CCI-000366,medium,
CCE-92805-1,os_httpd_disable,Disable the Built-in Web Server,"The built-in web server is a non-essential service built into macOS and _MUST_ be disabled.

NOTE: The built in web server service is disabled at startup by default macOS.
",Script,"/bin/launchctl print-disabled system | /usr/bin/grep -c '""org.apache.httpd"" => disabled'
",{'integer': 1},"[source,bash]
----
/bin/launchctl disable system/org.apache.httpd
----
","AC-3
AC-17
CM-7","03.01.02
03.04.06",SRG-OS-000080-GPOS-00048,,APPL-14-002008,4.2 (level 1),"4.1
4.8",AC.L1-3.1.1,,CCI-000213,medium,
CCE-92806-9,os_icloud_storage_prompt_disable,Disable iCloud Storage Setup during Setup Assistant,"The prompt to set up iCloud storage services during Setup Assistant _MUST_ be disabled.

The default behavior of macOS is to prompt new users to set up storage in iCloud. Disabling the iCloud storage setup prompt provides organizations more control over the storage of their data.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.SetupAssistant.managed')\
.objectForKey('SkipiCloudStorageSetup').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.SetupAssistant.managed) payload type:

[source,xml]
----
<key>SkipiCloudStorageSetup</key>
<true/>
----

","AC-20
CM-7","03.01.20
03.04.06",SRG-OS-000095-GPOS-00049,,APPL-14-002037,,"4.1
4.8",AC.L1-3.1.20,,CCI-000381,medium,
CCE-92811-9,os_install_log_retention_configure,Configure Install.log Retention to 365,"The install.log _MUST_ be configured to require records be kept for a organizational defined value before deletion, unless the system uses a central audit record storage facility.
",Script,"/usr/sbin/aslmanager -dd 2>&1 | /usr/bin/awk '/\/var\/log\/install.log$/ {count++} /Processing module com.apple.install/,/Finished/ { for (i=1;i<=NR;i++) { if ($i == ""TTL"" && $(i+2) >= 365) { ttl=""True"" }; if ($i == ""MAX"") {max=""True""}}} END{if (count > 1) { print ""Multiple config files for /var/log/install, manually remove the extra files""} else if (max == ""True"") { print ""all_max setting is configured, must be removed"" } if (ttl != ""True"") { print ""TTL not configured"" } else { print ""Yes"" }}' 
",{'string': 'Yes'},"[source,bash]
----
/usr/bin/sed -i '' ""s/\* file \/var\/log\/install.log.*/\* file \/var\/log\/install.log format='\$\(\(Time\)\(JZ\)\) \$Host \$\(Sender\)\[\$\(PID\\)\]: \$Message' rotate=utc compress file_max=50M size_only ttl=365/g"" /etc/asl/com.apple.install
----

NOTE: If there are multiple configuration files in /etc/asl that are set to process the file /var/log/install.log, these files will have to be manually removed.
","AU-11
AU-4",03.03.03,SRG-OS-000341-GPOS-00132,,APPL-14-004050,3.3 (level 1),"8.1
8.3",AU.L2-3.3.1,,CCI-001849,medium,
